id_review,caption,timestamp,rating,username,n_review_user,n_photo_user,url_user
ChdDSUhNMG9nS0VJQ0FnSUNzLThMVHdBRRABGhZFSnZIa1UxZFpuTFBrU2k2UVJzN3hB,Muy lindo,Hace un mes,2020-03-23 12:39:46.367136,5.0,Maria jose Garcia perez,0,0,https://www.google.com/maps/contrib/118022986829170000122?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzdTd1bk13EAEaFnB2V29Nb3hXX01qbW1VcEItQ244VUE,,Hace un mes,2020-03-23 12:39:46.368133,5.0,Marcos Ledesma,0,0,https://www.google.com/maps/contrib/102262808581075461755?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzNjZhb3h3RRABGhZDdEpFQ1Q2bzVVY0hsbnJDM0xMWHBn,,Hace un mes,2020-03-23 12:39:46.369131,5.0,Mario Sánchez Bermejo,0,0,https://www.google.com/maps/contrib/112346215680800134430?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzeThPN053EAEaFmxTTE1GbkVvbHFDRUZvbmRxQVJzNUE,,Hace un mes,2020-03-23 12:39:52.831085,3.0,Ana Rosado,0,0,https://www.google.com/maps/contrib/101359905192610492339?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzeV96aFl3EAEaFmhRdll2Q1VhWC1qenZ5UENycHJkWmc,,Hace un mes,2020-03-23 12:39:52.832081,5.0,Sypnasis,0,0,https://www.google.com/maps/contrib/103838311455736060291?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzeTZ6VnpRRRABGhZuRTZnUVltc1ZOeUVnY1pwajh3ZHFn,,Hace un mes,2020-03-23 12:39:52.833079,5.0,Lucas Izquierdo Elias,0,0,https://www.google.com/maps/contrib/107837120833586806096?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzaTdMZEd3EAEaFlpKUzB1Wnd6S2hyWXk1ZkgwMjktT1E,"Parque con gran variedad de árboles, parque infantil y zona tranquila para pasear y estar con los niños, recomiendo 100%",Hace un mes,2020-03-23 12:39:52.834076,5.0,Antonio Delgado,0,0,https://www.google.com/maps/contrib/106256770411250173540?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzMDQyX3BBRRABGhZleEMyUFBuQ1FRMzRnbnZidUhrUU5R,,Hace un mes,2020-03-23 12:39:52.835073,5.0,Consuelo García Domínguez,0,0,https://www.google.com/maps/contrib/105079674078080108091?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzdlpLazJnRRABGhZUazc3MTc0OTJOclYzZDRNelZaMVZn,,Hace un mes,2020-03-23 12:39:52.836071,4.0,Lourdes Sosa,1,0,https://www.google.com/maps/contrib/116425365448693169169?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzbmFmSWFnEAEaFjUtRGh5Sk1tMzluVlRHRXFfRHhRVHc,,Hace un mes,2020-03-23 12:39:52.837068,5.0,Samy Flores,0,0,https://www.google.com/maps/contrib/104069773968473973062?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzN1luSUl3EAEaFnk4aFpFNnJkb29nV1hCZV8wcFcxTHc,,Hace un mes,2020-03-23 12:39:52.837068,5.0,Francisco del Pino del Pino,0,0,https://www.google.com/maps/contrib/115600229204661072953?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzclltcFBREAEaFlI0UjB4ZnFYemUzaTVkclllZXlqS3c,,Hace un mes,2020-03-23 12:39:52.838065,5.0,willy bejarano,4,0,https://www.google.com/maps/contrib/113089385032679868252?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzcmFLRUN3EAEaFlUtV09lQm1BUXg2XzRvYWhWVXc0MXc,,Hace un mes,2020-03-23 12:39:52.839063,5.0,Ainara Navarro,0,0,https://www.google.com/maps/contrib/115348425028140233209?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzemMzUDRRRRABGhZLRlg4TFZNdHVsamJMRmZtWnNUczFR,,Hace un mes,2020-03-23 12:39:59.396846,4.0,Mary Alonso,5,0,https://www.google.com/maps/contrib/101932553440185621324?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzdGRQZ0JBEAEaFk12bHBmWC1RTTJQVTZNWUJrRnV3N1E,"Parque antiguo pero renovado, con el suelo de grava / tierra. Tiene un estanque con patos, pavos reales y demás, zona de juegos infantil con baños que no funcionan (cerrados/averiados) y con un bar para tomar algo",Hace un mes,2020-03-23 12:39:59.397844,3.0,Tocinete veloz,14,0,https://www.google.com/maps/contrib/100224726896592190272?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzdFlHblFBEAEaFnIwNndHYlRsZnVlM3dzdXg0NXY3NXc,,Hace un mes,2020-03-23 12:39:59.398841,2.0,antonio corral,0,0,https://www.google.com/maps/contrib/110041371329724128854?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzMWF2cGNnEAEaFmhBbTU5a0Y4YlQxaGZGeWk5Tkd1Vnc,,Hace un mes,2020-03-23 12:39:59.399838,3.0,Antonio Ropero,0,0,https://www.google.com/maps/contrib/115916889113833194593?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzMWJUajNBRRABGhZ1MHdjUHZEYWVhRHJvdkttRkxXY2pB,,Hace un mes,2020-03-23 12:39:59.399838,5.0,Ulises Romero,0,0,https://www.google.com/maps/contrib/108801071590814064205?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzNVlYQzZnRRABGhY2X0l1WV9GOUt5bG51QVhOVndWbkpn,,Hace un mes,2020-03-23 12:39:59.400836,5.0,Lara Jiménez,0,0,https://www.google.com/maps/contrib/101726787945500065563?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzcGFtZFFnEAEaFkY5aW1PQVNrbGdBMVJieGxTVHlraWc,,Hace un mes,2020-03-23 12:39:59.401833,5.0,Gerardo Fernandez Rubio,0,0,https://www.google.com/maps/contrib/108739429424458972363?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzdWFueElREAEaFklnT3VDZC1iSlZfdzlodWt5VVcyZVE,,Hace un mes,2020-03-23 12:39:59.402830,3.0,Laura R,3,0,https://www.google.com/maps/contrib/102484666769832586249?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzMmJUenFnRRABGhZnMEJzVTVRckJuRWdVS1YzaVlHMVRR,,Hace un mes,2020-03-23 12:39:59.403828,5.0,Alfonso Sanchez Gomez,1,0,https://www.google.com/maps/contrib/101799989930651377367?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzNmJITld3EAEaFnBRanlyWVZvWlFpbkJ0QUljUDlNd0E,,Hace un mes,2020-03-23 12:39:59.403828,3.0,Cristina Duarte,0,0,https://www.google.com/maps/contrib/114291315693353060431?hl=es-ES
ChdDSUhNMG9nS0VJQ0FnSUNzcWJXYW1nRRABGhZBb2dXSHF4b2o1UUlOTkNreGVCUU53,,Hace un mes,2020-03-23 12:40:05.925484,5.0,Joana Sánchez Rodríguez,0,0,https://www.google.com/maps/contrib/110969325308403179741?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzcVluOFdBEAEaFnVNZkRhX19TZDRhcFppOUktMDBrMlE,,Hace un mes,2020-03-23 12:40:05.926481,4.0,Amanda Andrade,0,0,https://www.google.com/maps/contrib/110331164820091665814?hl=es-ES
ChZDSUhNMG9nS0VJQ0FnSUNzOGZ5S1RnEAEaFmhudWVlYldBVEc2aXY4R1ROb1pzYnc,,Hace un mes,2020-03-23 12:40:05.927478,5.0,Manuel Caballas Jorge,0,0,https://www.google.com/maps/contrib/102424041439391521092?hl=es-ES
